Station Na,Station Id,State Code,State Name,Network Co,Network Na,Elevation,Latitude,Longitude,County Nam,County Cod,Start Date,End Date,Aspect_tif,Slope_tif1,join_lat,join_lon,distance,Station_name
Adin Mtn,301,CA,CALIFORNIA,SNTL,SNOTEL,6190,41.23583,-120.79192,Modoc,49,10/1/1983,1/1/2100,356.22595,5.34263,41.2468725514469,-120.785448589041,0.0127991055256911,Adin_Mtn
Albro Lake,916,MT,MONTANA,SNTL,SNOTEL,8300,45.59723,-111.95902,Madison,57,9/1/1996,1/1/2100,113.61806,18.57167,45.6218384967846,-111.957464205479,0.0246576278378307,Albro_Lake
Aneroid Lake #2,302,OR,OREGON,SNTL,SNOTEL,7400,45.21328,-117.19258,Wallowa,63,10/1/1980,1/1/2100,243.40767,4.92824,45.2241143199357,-117.179652150685,0.0168674768824703,Aneroid_Lake_#2
Baker Butte,308,AZ,ARIZONA,SNTL,SNOTEL,7363,34.45654,-111.40651,Coconino,5,10/1/1965,1/1/2100,301.38187,2.95879,34.4287438054662,-111.397944068493,0.0290861412556446,Baker_Butte
Bald Mtn.,309,WY,WYOMING,SNTL,SNOTEL,9380,44.8007,-107.84442,Big Horn,3,10/1/1975,1/1/2100,353.00418,13.84888,44.8263901430868,-107.854316534247,0.027530434829881,Bald_Mtn
Baldy,310,AZ,ARIZONA,SNTL,SNOTEL,9221,33.97845,-109.50357,Apache,1,11/1/1949,1/1/2100,69.12751,7.36216,33.9742018890675,-109.532876945205,0.0296132315653688,Baldy
Banfield Mountain,311,MT,MONTANA,SNTL,SNOTEL,5600,48.5712,-115.44573,Lincoln,53,10/1/1968,1/1/2100,357.13345,6.72606,48.5763609533762,-115.438922835616,0.00854241925347594,Banfield_Mountain
Banner Summit,312,ID,IDAHO,SNTL,SNOTEL,7040,44.30342,-115.23447,Boise,15,10/1/1979,1/1/2100,33.21365,7.6427,44.3150304871383,-115.252416123288,0.0213744415753172,Banner_Summit
Barker Lakes,313,MT,MONTANA,SNTL,SNOTEL,8250,46.09713,-113.13038,Deer Lodge,23,8/1/1977,1/1/2100,126.20293,5.36516,46.0763804131833,-113.138673383562,0.0223455938379364,Barker_Lakes
Base Camp,314,WY,WYOMING,SNTL,SNOTEL,7060,43.94019,-110.44544,Teton,39,10/1/1979,1/1/2100,55.58833,5.80228,43.9173063102894,-110.465410506849,0.0303724282627651,Base_Camp
Basin Creek,315,MT,MONTANA,SNTL,SNOTEL,7180,45.79737,-112.52047,Silver Bow,93,10/1/1976,1/1/2100,336.40356,6.9512,45.7922917154341,-112.516984342466,0.00615944661285684,Basin_Creek
Beagle Springs,318,MT,MONTANA,SNTL,SNOTEL,8850,44.47147,-112.98191,Beaverhead,1,10/1/1976,1/1/2100,94.1339,13.17253,44.4854837057878,-112.952166671233,0.032879318059364,Beagle_Springs
Bear Basin,319,ID,IDAHO,SNTL,SNOTEL,5350,44.95222,-116.14293,Adams,3,10/1/1979,1/1/2100,254.45667,1.79988,44.9400256221865,-116.122780780822,0.0235519401269124,Bear_Basin
Bear Canyon,320,ID,IDAHO,SNTL,SNOTEL,7900,43.74367,-113.93797,Custer,37,10/1/1979,1/1/2100,332.19244,6.31574,43.7468530916399,-113.946869136986,0.00945128094405038,Bear_Canyon
Bear Creek,321,NV,NEVADA,SNTL,SNOTEL,8040,41.83384,-115.45278,Elko,7,3/1/1976,1/1/2100,258.99774,7.15686,41.8150499469453,-115.438922835616,0.0233471004316139,Bear_Creek
Bear Mountain,323,ID,IDAHO,SNTL,SNOTEL,5400,48.30577,-116.07448,Bonner,17,10/1/1979,1/1/2100,331.08267,8.98403,48.292272255627,-116.060611876712,0.0193523628193028,Bear_Mountain
Bear Saddle,324,ID,IDAHO,SNTL,SNOTEL,6180,44.60533,-116.98097,Washington,87,10/1/1979,1/1/2100,230.06487,10.98431,44.5991191848875,-116.993145438356,0.0136680475387802,Bear_Saddle
Beartooth Lake,326,WY,WYOMING,SNTL,SNOTEL,9360,44.94307,-109.56743,Park,29,10/1/1979,1/1/2100,2.32562,9.6589,44.9400256221865,-109.595045849315,0.0277831490234633,Beartooth_Lake
Beartown,327,CO,COLORADO,SNTL,SNOTEL,11600,37.71433,-107.5124,San Juan,111,10/1/1979,1/1/2100,131.49446,23.19411,37.7241726993569,-107.543472013699,0.0325936921188959,Beartown
Beaver Creek,328,MT,MONTANA,SNTL,SNOTEL,7850,44.94966,-111.35852,Gallatin,31,10/1/1966,1/1/2100,233.93858,6.47725,44.9400256221865,-111.335775164384,0.0247011899116596,Beaver_Creek
Ben Lomond Peak,332,UT,UTAH,SNTL,SNOTEL,7689,41.37603,-111.94405,Weber,57,10/1/1978,1/1/2100,14.82669,19.59668,41.3605080305466,-111.957464205479,0.0205151759520862,Ben_Lomond_Peak
Berry Creek,334,NV,NEVADA,SNTL,SNOTEL,9377,39.31917,-114.62278,White Pine,33,10/1/1980,1/1/2100,19.26669,20.50935,39.3150694067524,-114.630727082192,0.0089426495150208,Berry_Creek
Big Bend,336,NV,NEVADA,SNTL,SNOTEL,6898,41.76168,-115.6931,Elko,7,10/1/1978,1/1/2100,69.2494,3.62995,41.7582322073955,-115.687598452055,0.00649263456809183,Big_Bend
Big Creek Sum,337,NV,NEVADA,SNTL,SNOTEL,8685,39.29148,-117.11506,Lander,15,10/1/1980,1/1/2100,4.40857,50.86428,39.3150694067524,-117.117483246575,0.0237135453885212,Big_Creek_Sum
Big Creek Summit,338,ID,IDAHO,SNTL,SNOTEL,6560,44.62621,-115.79561,Valley,85,10/1/1979,1/1/2100,88.64811,9.31539,44.5991191848875,-115.811936260274,0.0316300337969167,Big_Creek_Summit
Big Goose,931,WY,WYOMING,SNTL,SNOTEL,7990,44.57924,-107.20068,Sheridan,33,7/22/1998,1/1/2100,318.13855,2.28555,44.5991191848875,-107.170458589041,0.0361734111212124,Big_Goose
Big Meadow,340,NV,NEVADA,SNTL,SNOTEL,8235,39.455,-119.9422,Washoe,31,10/1/1983,1/1/2100,58.35698,7.61433,39.4287048858521,-119.915083931507,0.0377718704668987,Big_Meadow
Big Sandy Opening,342,WY,WYOMING,SNTL,SNOTEL,9080,42.6458,-109.25965,Sublette,35,3/1/1963,1/1/2100,318.75986,5.67791,42.6673160401929,-109.284201328767,0.0326451792736382,Big_Sandy_Opening
Bison Lake,345,CO,COLORADO,SNTL,SNOTEL,10964,39.76458,-107.35628,Garfield,45,9/30/1985,1/1/2100,15.93814,8.69195,39.7696113231511,-107.35696530137,0.00507778008764936,Bison_Lake
Bisson Creek,346,MT,MONTANA,SNTL,SNOTEL,4920,47.68389,-113.99901,Lake,47,10/1/1988,1/1/2100,358.61353,8.6066,47.6672771205788,-114.009038041096,0.019404880079155,Bisson_Creek
Black Bear,347,MT,MONTANA,SNTL,SNOTEL,8170,44.50832,-111.12803,Gallatin,31,10/1/1967,1/1/2100,68.02431,3.28101,44.4854837057878,-111.149268452055,0.0311860253805876,Black_Bear
Black Pine,349,MT,MONTANA,SNTL,SNOTEL,7210,46.414,-113.43095,Granite,39,10/1/1965,1/1/2100,153.49783,16.00959,46.4172868504823,-113.44951790411,0.0188565757530666,Black_Pine
Blackwater,350,WY,WYOMING,SNTL,SNOTEL,9780,44.37667,-109.79333,Park,29,10/1/1979,1/1/2100,31.40434,29.15176,44.3718482266881,-109.781552561644,0.0127262544411347,Blackwater
Blewett Pass,352,WA,WASHINGTON,SNTL,SNOTEL,4240,47.35037,-120.6796,Chelan,7,10/1/1979,1/1/2100,297.7771,23.36463,47.3263706832797,-120.661110780822,0.0302955182964931,Blewett_Pass
Blind Bull Sum,353,WY,WYOMING,SNTL,SNOTEL,8650,42.964,-110.60973,Sublette,35,10/1/1978,1/1/2100,314.91806,15.07526,42.9514047379421,-110.589748315068,0.0236200838065643,Blind_Bull_Sum
Blind Park,354,SD,SOUTH DAKOTA,SNTL,SNOTEL,6890,44.10772,-103.97688,Pennington,103,10/1/1989,1/1/2100,94.5297,1.53397,44.0877595289389,-104.124182287671,0.148648526256045,Blind_Park
Blue Mountain Spring,357,OR,OREGON,SNTL,SNOTEL,5870,44.24767,-118.51722,Grant,23,10/1/1978,1/1/2100,147.57906,4.5703,44.2582127475884,-118.547368041096,0.031938282806669,Blue_Mountain_Spring
Bogus Basin,978,ID,IDAHO,SNTL,SNOTEL,6340,43.76377,-116.09685,Boise,15,9/21/1999,1/1/2100,4.32225,34.15029,43.7468530916399,-116.122780780822,0.0309610591308243,Bogus_Basin
Bostetter R.S.,359,ID,IDAHO,SNTL,SNOTEL,7500,42.16442,-114.19272,Cassia,31,10/1/1979,1/1/2100,110.54591,5.5044,42.1559563842444,-114.195544753425,0.00892255700853396,Bostetter_R_S
Boulder Mountain,360,MT,MONTANA,SNTL,SNOTEL,7950,46.5596,-111.28973,Meagher,59,10/1/1976,1/1/2100,87.67329,6.19001,46.5877400691318,-111.273606260274,0.0324320593471081,Boulder_Mountain
Bourne,361,OR,OREGON,SNTL,SNOTEL,5850,44.83052,-118.18787,Baker,1,10/1/1978,1/1/2100,193.73647,32.09556,44.8263901430868,-118.174354616438,0.0141322790430894,Bourne
Bowman Springs,362,OR,OREGON,SNTL,SNOTEL,4530,45.36428,-118.46715,Umatilla,59,10/1/1978,1/1/2100,191.89655,10.00298,45.3377497990354,-118.485199136986,0.0320877376759606,Bowman_Springs
Box Canyon,363,MT,MONTANA,SNTL,SNOTEL,6670,45.2719,-110.24903,Park,67,10/1/1976,1/1/2100,2.13858,8.92905,45.2809320594855,-110.278903794521,0.0312093206852091,Box_Canyon
Brackett Creek,365,MT,MONTANA,SNTL,SNOTEL,7320,45.89107,-110.93851,Gallatin,31,8/1/1992,1/1/2100,81.25185,20.96961,45.9059271945338,-110.962761739726,0.0284408704007716,Brackett_Creek
Brown Duck,368,UT,UTAH,SNTL,SNOTEL,10574,40.58102,-110.58587,Duchesne,13,10/1/1978,1/1/2100,323.4765,4.65583,40.5650596768489,-110.589748315068,0.0164247752756116,Brown_Duck
Brundage Reservoir,370,ID,IDAHO,SNTL,SNOTEL,6250,45.04315,-116.13253,Adams,3,10/1/1985,1/1/2100,194.74269,7.88043,45.0536611012862,-116.122780780822,0.0143363358229935,Brundage_Reservoir
Buck Flat,371,UT,UTAH,SNTL,SNOTEL,9409,39.134,-111.43722,Sanpete,39,10/1/1978,1/1/2100,40.14285,3.16243,39.1446161881029,-111.460112972603,0.0252347309166955,Buck_Flat
Buckskin Lower,373,NV,NEVADA,SNTL,SNOTEL,6930,41.75067,-117.53182,Humboldt,13,10/1/1980,1/1/2100,352.32742,3.41825,41.7582322073955,-117.552665575342,0.0221748729879547,Buckskin_Lower
Bug Lake,374,UT,UTAH,SNTL,SNOTEL,7987,41.68541,-111.41987,Rich,33,10/1/1978,1/1/2100,18.48696,11.79138,41.7014144678457,-111.397944068493,0.027145708012019,Bug_Lake
Bumping Ridge,375,WA,WASHINGTON,SNTL,SNOTEL,4610,46.81003,-121.33058,Yakima,77,10/1/1978,1/1/2100,6.58827,2.58754,46.8150110273312,-121.344968726027,0.0152264923719975,Bumping_Ridge
Bunchgrass Mdw,376,WA,WASHINGTON,SNTL,SNOTEL,5000,48.68688,-117.17633,Pend Oreille,51,10/1/1979,1/1/2100,11.9759,5.09022,48.6899964324759,-117.179652150685,0.00455508908263483,Bunchgrass_Mdw
Burgess Junction,377,WY,WYOMING,SNTL,SNOTEL,7880,44.78765,-107.52917,Sheridan,33,10/1/1979,1/1/2100,359.94104,6.82964,44.769572403537,-107.543472013699,0.0230509672188775,Burgess_Junction
Camas Creek Divide,382,ID,IDAHO,SNTL,SNOTEL,5710,43.26548,-115.3453,Elmore,39,10/1/1991,1/1/2100,49.27742,4.32104,43.2923111752412,-115.314585027397,0.0407838387946371,Camas_Creek_Divide
Canyon,384,WY,WYOMING,SNTL,SNOTEL,7870,44.71961,-110.51084,Park,29,10/1/1960,1/1/2100,9.91329,6.23092,44.7127546639871,-110.527579410959,0.0180887675396716,Canyon
Carrot Basin,385,MT,MONTANA,SNTL,SNOTEL,9000,44.96192,-111.29403,Gallatin,31,10/1/1966,1/1/2100,142.78101,8.75276,44.9400256221865,-111.273606260274,0.0299414916835486,Carrot_Basin
Cascade #2,387,CO,COLORADO,SNTL,SNOTEL,9012,37.65751,-107.80287,San Juan,111,9/30/1990,1/1/2100,235.27156,5.75313,37.6673549598071,-107.792147630137,0.0145565259963498,Cascade_#2
Cascade Summit,388,OR,OREGON,SNTL,SNOTEL,5100,43.59042,-122.0601,Deschutes,17,10/1/1979,1/1/2100,27.46285,21.96933,43.5763998729904,-122.090995575342,0.0339278725692992,Cascade_Summit
Cedar Pass,391,CA,CALIFORNIA,SNTL,SNOTEL,7030,41.58233,-120.3025,Modoc,49,10/1/1977,1/1/2100,296.32098,2.97196,41.587778988746,-120.288097356164,0.0153989489193432,Cedar_Pass
Chalk Creek #1,392,UT,UTAH,SNTL,SNOTEL,9171,40.85464,-111.04765,Summit,43,10/1/1978,1/1/2100,5.04417,7.14145,40.8491483745981,-111.024930643836,0.0233736410099424,Chalk_Creek_#1
Chemult Alternate,395,OR,OREGON,SNTL,SNOTEL,4850,43.22625,-121.80662,Klamath,35,10/1/1979,1/1/2100,185.92819,2.42596,43.2354934356913,-121.780151054795,0.0280365148269959,Chemult_Alternate
Chocolate Gulch,895,ID,IDAHO,SNTL,SNOTEL,6310,43.7685,-114.41812,Blaine,13,10/1/1992,1/1/2100,11.44961,25.06482,43.7468530916399,-114.444220369863,0.0339089656069932,Chocolate_Gulch
Clackamas Lake,398,OR,OREGON,SNTL,SNOTEL,3400,45.09658,-121.75443,Clackamas,5,10/1/1979,1/1/2100,84.62793,8.22271,45.110478840836,-121.780151054795,0.0292361152746361,Clackamas_Lake
