Station Na,Station Id,State Code,State Name,Network Co,Network Na,Elevation,Latitude,Longitude,County Nam,County Cod,Start Date,End Date,Aspect_tif,Slope_tif1,LandCover,LC_Detail
Adin Mtn,301,CA,CALIFORNIA,SNTL,SNOTEL,6190,41.23583,-120.79192,Modoc,49,10/1/1983,1/1/2100,356.22595,5.34263,42,Evergreen Forest
Agua Canyon,907,UT,UTAH,SNTL,SNOTEL,8900,37.52217,-112.27118,Kane,25,10/1/1994,1/1/2100,209.17809,3.88067,42,Evergreen Forest
Albro Lake,916,MT,MONTANA,SNTL,SNOTEL,8300,45.59723,-111.95902,Madison,57,9/1/1996,1/1/2100,113.61806,18.57167,42,Evergreen Forest
Alpine Meadows,908,WA,WASHINGTON,SNTL,SNOTEL,3500,47.77957,-121.69847,King,33,9/1/1994,1/1/2100,242.07408,7.06831,42,Evergreen Forest
Aneroid Lake #2,302,OR,OREGON,SNTL,SNOTEL,7400,45.21328,-117.19258,Wallowa,63,10/1/1980,1/1/2100,243.40767,4.92824,42,Evergreen Forest
Annie Springs,1000,OR,OREGON,SNTL,SNOTEL,6010,42.87007,-122.16518,Klamath,35,9/1/2000,1/1/2100,252.19489,1.17594,42,Evergreen Forest
Apishapa,303,CO,COLORADO,SNTL,SNOTEL,10027,37.33067,-105.06766,Huerfano,55,10/1/1979,1/1/2100,102.64851,6.75707,43,Mixed Forest
Arapaho Ridge,1030,CO,COLORADO,SNTL,SNOTEL,10976,40.35098,-106.38141,Grand,49,8/1/2002,1/1/2100,212.00085,4.38333,42,Evergreen Forest
Arbuckle Mtn,304,OR,OREGON,SNTL,SNOTEL,5770,45.19085,-119.25392,Morrow,49,10/1/1978,1/1/2100,140.05367,2.62026,42,Evergreen Forest
Atlanta Summit,306,ID,IDAHO,SNTL,SNOTEL,7580,43.7569,-115.23907,Elmore,39,10/1/1978,1/1/2100,324.15222,14.8124,52,Shrub_Scrub
Atwater,1308,UT,UTAH,SNTL,SNOTEL,8753,40.59124,-111.63775,Salt Lake,35,8/25/2022,1/1/2100,175.36305,21.25785,41,Deciduous Forest
